Incident,Reported,Occurred,Type,Location,Summary,Status
2023-1231,06/02/23 12:17 AM,06/02/23 12:11 AM - 06/02/23 12:22 AM,Larceny,Gould Plaza,A staff member reported an attempted bike theft.,Open
01362-2023,06/01/23 09:22 AM,06/01/23 09:22 AM,Liquor Law Violation,Paulson Center Residence Hall,An SA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1226,06/01/23 04:54 PM,05/25/23 02:00 PM - 05/31/23 01:00 PM,Larceny,194 Mercer St,A student reported several missing personal properties.,Open
2023-1225,06/01/23 03:27 PM,06/01/23 03:23 PM - 06/01/23 03:50 PM,Larceny,Bobst Library,A student reported missing personal property.,Open
2023-1221,05/31/23 04:31 PM,05/09/23 01:00 PM - 05/09/23 02:00 PM,Criminal Mischief,Coral Towers,A staff member reported graffiti.,Open
2023-1220,05/31/23 01:05 PM,05/31/23 12:06 PM - 05/31/23 01:20 PM,Disorderly Conduct,Schwartz Hall,A staff member reported a disorderly conduct.,Open
2023-1218,05/31/23 09:20 AM,05/26/23 04:00 PM - 05/30/23 08:30 AM,Larceny,19 West 4th Street,A staff member reported missing personal property.,Open
01356-2023,05/30/23 04:51 PM,05/30/23 04:51 PM,Liquor Law Violation,Paulson Center Residence Hall,An SA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
01355-2023,05/30/23 04:35 AM,05/30/23 04:35 AM,Liquor Law Violation,Paulson Center Residence Hall,An SA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
01354-2023,05/30/23 04:03 PM,05/30/23 04:03 PM,Liquor Law Violation,Paulson Center Residence Hall,An SA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
01351-2023,05/30/23 02:00 PM,05/30/23 02:00 PM,Liquor Law Violation,Paulson Center Residence Hall,An SA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1213,05/30/23 12:04 PM,05/16/23 08:45 AM - 05/23/23 12:00 AM,Larceny,Palladium Hall,A student reported several missing personal properties.,Open
2023-1211,05/28/23 10:47 PM,05/28/23 10:45 PM - 05/28/23 10:49 PM,Criminal Trespass,Third North,A Campus Safety Officer reported an attempted criminal trespass.,Open
2023-1210,05/28/23 07:48 PM,05/28/23 07:24 PM - 05/28/23 07:40 PM,Liquor Law Violation,Third North,A Campus Safety Officer reported underage alcohol possession.,Open
2023-1207,05/27/23 11:26 AM,05/27/23 11:26 AM - 05/27/23 11:49 AM,Criminal Mischief,Bobst Library - exterior,A Campus Safety Officer reported graffiti.,Open
01350-2023,05/30/23 01:45 PM,05/30/23 01:45 PM,Liquor Law Violation,Paulson Center Residence Hall,An SA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
01346-2023,05/26/23 09:50 PM,05/26/23 09:50 PM,Liquor Law Violation,Othmer Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
01343-2023,05/26/23 11:08 PM,05/26/23 11:08 PM,Liquor Law Violation,Paulson Center Residence Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1199,05/26/23 07:17 AM,05/26/23 07:17 AM - 05/26/23 07:30 AM,Criminal Trespass,ARC Building,A staff member reported a trespass.,Open
2023-1198,05/26/23 05:42 AM,05/26/23 04:40 AM - 05/26/23 05:28 AM,Burglary,708 Broadway,A campus safety officer reported a burglary.,Open
01330-2023,05/24/23 09:30 PM,05/24/23 09:30 PM,Drug Law Violation,Paulson Center Residence Hall,An SA reported underage marijuana possession.,Closed/Referred to Office of Student Conduct & Community Standards
01340-2023,05/25/23 08:14 PM,05/25/23 08:14 PM,Criminal Trespass,Weinstein Hall,A staff member reported a criminal trespass.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1193,05/25/23 01:27 PM,05/25/23 01:27 PM - 05/25/23 01:30 PM,Criminal Trespass,721 Broadway,A staff member reported a trespass.,Open
2023-1191,05/25/23 01:08 AM,05/25/23,Harassment,Washington Square Park,A student reported a harassment.,Open
2023-1189,05/24/23 03:25 PM,05/24/23 01:57 PM - 05/24/23 03:00 PM,Larceny,Gould Plaza,A non-NYU affiliate reported missing personal property.,Open
2023-1188,05/24/23 12:46 PM,05/24/23 11:50 AM - 05/24/23 01:49 PM,Larceny,Schwartz Hall,A patient reported missing personal belongings.,Open
2023-1182,05/23/23 05:12 PM,05/23/23 05:12 PM - 05/23/23 05:15 PM,Criminal Trespass,Alumni Hall,A Campus Safety Officer reported a criminal trespass.,Open
VSU012,05/19/23 09:53 PM,05/13/23 02:30 PM - 05/13/23 03:30 PM,Larceny,West 3rd Street and Mercer Street,The NYPD reported a theft.,Closed/Referred to NYPD
2023-1179,05/23/23 03:16 PM,05/23/23 02:36 PM - 05/23/23 03:00 PM,Criminal Trespass,Schwartz Hall,A staff member reported a criminal trespass.,Open
01308-2023,05/19/23 11:59 PM,05/19/23 11:59 PM,Liquor Law Violation,Paulson Center Residence Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1171,05/22/23 04:47 PM,05/22/23 04:33 PM - 05/22/23 04:43 PM,Harassment / Disorderly Conduct / Weapons Law Violation,Basic Science - Exterior,"A student reported a harassment, disorderly conduct and weapons law violation.",Open
2023-1170,05/22/23 10:29 AM,05/22/23 09:56 AM - 05/22/23 10:00 AM,Disorderly Conduct,Weissman Hall - Dental,A staff member reported disorderly conduct.,Open
2023-1167,05/20/23 07:16 PM,05/10/23 12:00 AM,Larceny,Lipton Hall,A student reported missing personal property.,Open
2023-1166,05/20/23 04:35 PM,05/20/23 06:43 AM - 05/20/23 03:30 PM,Criminal Mischief,Mercer Street and West 3rd Street,A staff member reported a criminal mischief.,Open
VSU011,05/17/23 02:50 PM,05/17/23 12:00 AM,Larceny,MacDougal and West 3rd,The NYPD reported a theft.,Closed/Referred to NYPD
2023-1159,05/18/23 11:20 PM,05/18/23 11:15 PM,Intimidation,University Hall,A student reported an intimidation incident. This incident is classified as a hate crime.,Open
2023-1157,05/18/23 02:00 PM,05/18/23 12:00 PM - 05/18/23 01:20 PM,Larceny,Weinstein Hall,A contractor reported missing personal property.,Open
VSU013,05/18/23 12:00 AM,05/13/23 10:24 PM - 05/14/23 12:20 AM,Criminal Mischief,LaGuardia Place (between Washington Sq South and West 3rd st),A NYPD officer reported a criminal mischief.,Open
01297-2023,05/17/23 09:42 PM,05/17/23 09:30 PM,Criminal Trespass / Harassment,Gramercy Green,Two students reported a harassment and trespass.,Open
2023-1152,05/18/23 12:20 AM,05/15/23 11:45 PM - 05/17/23 06:30 PM,Larceny,Weinstein Hall,A student reported missing personal property.,Open
2023-1142,05/16/23 01:24 PM,05/16/23 01:24 PM,Harassment,708 Broadway,A staff member and campus safety officer reported a harassment.,Open
01292-2023,05/16/23 11:30 AM,05/16/23 11:30 AM,Liquor Law Violation,Palladium Hall,A staff member reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1137,05/16/23 10:25 AM,05/16/23 10:23 AM,Public Lewdness,Meyer Complex - exterior,A campus safety officer reported a public lewdness.,Open
2023-1139,05/16/23 12:10 PM,05/16/23 12:10 PM,Larceny,Alumni Hall - exterior,A student reported a theft.,Open
VSU010,05/14/23 02:27 PM,05/11/23 06:30 PM - 05/11/23 07:30 PM,Larceny,561 LaGuardia - exterior,The NYPD reported a theft.,Closed/Referred to NYPD
2023-1128,05/14/23 04:45 PM,05/14/23 04:40 PM,Harassment,622 Broadway - exterior,A student reported a harassment.,Open
2023-1119,05/13/23 11:33 PM,05/13/23 11:33 PM,Fondling,Alumni Hall - exterior,A student reported a fondling.,Open
2023-1127,05/14/23 03:02 PM,05/14/23 02:40 PM,Harassment,Washington Square Park,A student reported a harassment.,Open
2023-1120,05/14/23 01:50 AM,05/14/23 01:50 AM,Arson,Gramercy Green - exterior,A non-NYU affiliate reported an arson.,Open
2023-1117,05/13/23 05:56 PM,05/13/23 05:05 PM - 05/13/23 05:19 PM,Larceny,Brittany Hall,A student reported missing personal property.,Open
2023-1114,05/12/23 11:25 PM,05/09/23 01:35 AM,Larceny,Gramercy Green - exterior,A student reported a theft.,Open
2023-1112,05/12/23 09:57 PM,05/12/23 09:57 PM,Criminal Trespass,Second Street Hall,A campus safety officer reported an attempted trespass.,Open
2023-1108,05/12/23 12:30 PM,05/12/23 09:40 AM - 05/12/23 12:20 PM,Motor Vehicle Theft,Tisch Bike Rack,A student reported an electric scooter theft.,Open
01238-2023,05/10/23 12:00 PM,05/10/23 11:00 AM,Forgery - Altering/Use/Possession of Forged Document,Lafayette Hall,A contractor reported possession of forged documents.,Open
2023-1106,05/11/23 03:08 PM,05/11/23 01:30 PM - 05/11/23 03:00 PM,Larceny,Palladium Hall,A student reported missing personal property.,Open
2023-1101,05/11/23 08:55 AM,05/07/23 - 05/10/23,Harassment,Off Campus (previously reported as Third North Hall),A contractor reported a harassment. On 5/18/23 it was reported to have happened off campus.,Closed
2023-1099,05/10/23 10:10 PM,05/10/23 08:30 PM - 05/10/23 10:00 PM,Larceny,Third North,A student reported missing personal property.,Open
2023-1096,05/10/23 05:12 PM,05/10/23 05:12 PM,Harassment,Mercer Street and Washington Place,A non-NYU affiliate reported a harassment.,Open
2023-1095,05/10/23 05:45 PM,05/10/23 05:35 PM,Harassment,Mercer Street and West 4th,A student reported a harassment.,Open
2023-1092,05/10/23 12:00 AM,04/07/23 10:00 PM,Rape,Broome Street Hall,A student reported a rape.,Open
2023-1091,05/10/23 11:22 AM,05/05/23 12:00 AM - 05/07/23 12:00 AM,Larceny,721 Broadway,A staff member reported missing equipment.,Open
VSU009,05/05/23 11:29 AM,04/17/23 05:00 PM,Larceny,Washington Square Park,The NYPD reported a theft in Washington Square Park.,Closed/Referred to NYPD
01231-2023,05/10/23 12:45 AM,05/10/23 12:45 AM,Liquor Law Violation,Lipton Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
01229-2023,05/09/23 07:50 PM,05/09/23 07:50 PM,Liquor Law Violation / Forgery - Altering/Use/Possession of Forged Document,Greenwhich Hall,An RA reported underage alcohol possession and possession of a forged document.,Closed/Referred to Office of Student Conduct & Community Standards
01228-2023,05/09/23 06:44 PM,05/09/23,Criminal Trespass,Palladium Hall,A student reported a trespass.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1085,05/09/23 02:20 PM,05/09/23 02:20 PM,Disorderly Conduct,Schwartz Hall,A staff member reported a disorderly conduct.,Open
2023-1087,05/09/23 04:02 PM,05/09/23 03:40 PM,Larceny,Schwartz Hall - exterior,A student reported missing personal items.,Open
2023-1084,05/08/23 12:10 PM,05/08/23 12:10 PM,Simple Assault,Metrotech Commons,A campus safety officer reported a simple assault.,Open
2023-1083,05/09/23 12:38 PM,05/08/23 06:40 PM,Larceny,Washington Square East and West 4th Street,A student reported a phone theft.,Open
2023-1082,05/09/23 10:56 AM,05/08/23 07:15 PM,Forgery / Larceny,105 East 17th Street,A staff member reported an attempted theft via forged document.,Open
2023-1077,05/08/23 06:00 PM,05/02/23 02:45 AM - 05/03/23 04:00 PM,Harassment,Second Street Hall,An RA reported a harassment.,Open
01211-2023,05/08/23 02:00 PM,05/07/23 - 05/08/23,Criminal Mischief,Coral Towers Hall,A faculty member reported graffiti.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1075,05/08/23 12:30 PM,05/08/23 12:00 PM - 05/08/23 12:05 PM,Recovered Property (reclassified from Larceny),6 Metro Tech,A campus safety officer reported missing personal property. The items were reported recovered on 5/11/2023,Closed
2023-1072,05/07/23 06:05 PM,05/07/23 05:56 PM,Harassment,Vanderbilt Hall Courtyard,A student reported a harassment.,Open
2023-1070,05/07/23 04:50 PM,05/06/23 07:55 PM - 05/07/23 04:00 PM,Harassment,Carlyle Court Residence Hall,A student reported a harassment.,Open
2023-1069,05/06/23 11:00 AM,05/05/23 - 05/06/23,Criminal Mischief,35 West 4th Street,A faculty member reported graffiti.,Open
2023-1068,05/07/23 08:25 AM,05/06/23 - 05/07/23,Criminal Mischief,Kimmel Center - exterior,A campus safety officer reported a graffiti.,Open
2023-1060,05/05/23 12:40 PM,05/05/23 12:32 PM,Harassment,West 3rd Street and LaGuardia Place,A student reported a harassment.,Open
2023-1053,05/04/23 02:53 PM,05/04/23 08:00 AM - 05/04/23 02:50 PM,Motor Vehicle Theft,Othmer Hall - exterior,A student reported an electric scooter theft.,Open
2023-1050,05/04/23 07:26 PM,03/28/23 12:00 AM,Forgery - Altering / Use / Possession of a Forged Instrument,105 East 17th Street,A staff member reported a forgery.,Open
2023-1049,05/04/23 11:22 AM,05/04/23 11:22 AM,Disorderly Conduct,Schwartz Hall,A staff member reported a disorderly conduct.,Open
2023-1049,05/04/23 11:22 AM,05/04/23 11:22 AM - 12/30/99 12:00 AM,Disorderly Conduct,Schwartz Hall,A staff member reported a disorderly conduct.,Open
2023-1043,05/03/23 04:44 PM,05/03/23 12:00 AM - 05/03/23 04:44 PM,Disorderly Conduct,Weissman Hall,A staff member reported a disorderly conduct.,Open
2023-1041,05/03/23 03:47 PM,05/02/23 04:16 PM - 05/02/23 08:00 PM,Larceny,Lafayette Hall,A student reported missing personal property.,Open
2023-1036,05/03/23 12:44 PM,05/01/23 08:30 AM - 05/02/23 05:00 PM,Larceny,Schwartz Hall,A student reported missing personal property.,Open
2023-1034,05/03/23 10:07 AM,05/03/23 10:07 AM,Disorderly Conduct,Starbucks on the Square,A Starbucks employee reported a disorderly conduct.,Open
2023-1033,05/02/23 10:38 PM,05/02/23 11:02 AM - 05/02/23 10:20 PM,Motor Vehicle Theft,Tisch bike racks,A student reported an electronic scooter theft.,Open
2023-1031,05/02/23 04:11 PM,04/13/23 12:00 PM - 04/17/23 09:00 PM,Larceny,5 Washington Place,A faculty member reported missing personal property.,Open
2023-1028,05/02/23 01:53 PM,05/01/23 - 05/02/23,Criminal Mischief,Shimkin Hall - exterior,A campus safety officer reported graffiti.,Open
2023-1023,05/02/23 11:01 AM,05/02/23 12:00 AM - 05/01/23 12:00 AM,Criminal Mischief,Palladium Hall - exterior,A campus safety officer reported graffiti.,Open
01137-2023,05/01/23 11:12 PM,05/01/23 11:12 PM,Liquor Law Violation,Founders Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1021,05/01/23 05:00 PM,05/01/23 11:30 AM - 05/01/23 04:45 PM,Motor Vehicle Theft,Tisch Bike Rack,A student reported an electric bike theft.,Open
2023-1019,05/01/23 04:11 PM,05/01/23 04:05 PM,Larceny,University Place & Washington Mews,A student reported a theft.,Open
2023-1018,05/01/23 05:01 PM,04/27/23 09:00 AM - 05/01/23 10:00 AM,Motor Vehicle Theft,Tisch bike racks,A student reported an electronic scooter theft.,Open
01132-2023,05/01/23 12:22 AM,05/01/23 12:22 AM,Liquor Law Violation,Othmer Hall,A staff member reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-1004,04/30/23 05:01 PM,12/01/22 - 04/30/23,Larceny,2 Metrotech,A staff member reported missing personal property.,Open
2023-0999,04/29/23 08:37 PM,04/29/23 08:37 PM,Loitering,Basic Science Building,A campus safety officer reported a loitering.,Open
2023-0996,04/29/23 03:50 PM,04/29/23 03:50 PM,Loitering,Education Building,A campus safety officer reported loitering.,Open
2023-0993,04/29/23 12:29 PM,04/29/23 12:29 PM,Criminal Trespass,Lafayette Hall,A campus safety officer reported a trespass.,Open
2023-0992,04/29/23 12:06 PM,04/28/23 - 04/29/23,Criminal Mischief,University Hall - exterior,A campus safety officer reported damage to property.,Open
2023-0991,04/29/23 10:54 AM,04/28/23 - 04/29/23,Criminal Mischief,Brittany Hall - exterior,A campus safety officer reported damage to property.,Open
2023-0990,04/29/23 08:16 AM,04/29/23 08:16 AM,Criminal Trespass,Vanderbilt Hall,A campus safety officer reported a trespass.,Open
2023-0989,04/29/23 05:30 AM,04/29/23 05:30 AM,Criminal Trespass,Carlyle Court Residence Hall,A campus safety officer reported a trespass.,Open
01156-2023,04/27/23 05:25 PM,04/27/23 05:25 PM,Liquor Law Violation,Paulson Center Residence Hall,An RA reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
01103-2023,04/27/23 05:29 PM,04/27/23 05:20 PM,Liquor Law Violation,Paulson Center Residence Hall,A staff member reported underage liquor possession.,Closed/Referred to Office of Student Conduct & Community Standards
01101-2023,04/27/23 01:30 PM,04/27/23 01:30 PM,Criminal Trespass,Weinstein Hall,A campus safety officer reported a trespass.,Open
2023-0972,04/27/23 01:20 PM,04/27/23 01:00 PM - 04/27/23 01:15 PM,Larceny,NYU Bookstore,An NYU Bookstore staff member reported retail theft.,Open
2023-0957,04/26/23 01:48 PM,04/26/23 01:35 PM,Disorderly Conduct,Schwartz Hall,A staff member reported a disorderly conduct.,Open
2023-0967,04/26/23 09:30 PM,04/25/23 - 04/26/23,Criminal Mischief,Waverly Building,A staff member reported a criminal mischief.,Open
2023-0965,04/26/23 10:28 PM,04/24/23 08:51 PM,Larceny,Lafayette Hall,A student reported missing personal property.,Open
2023-0963,04/26/23 09:05 PM,04/26/23 09:05 PM,Larceny / Extortion,Lafayette Hall,A student reported an extortion incident.,Open
BOOK016,04/26/23 01:00 PM,04/26/23 12:55 PM,Larceny,NYU Bookstore,A staff member reported an attempted retail theft.,Closed
2023-0962,04/26/23 07:14 PM,04/20/23 - 04/26/23,Larceny,Third North Hall,A student reported missing personal property.,Open
2023-0961,04/26/23 02:48 PM,04/25/23 02:30 PM,Criminal Mischief,Rogers Hall,A staff member reported a criminal mischief.,Open
2023-0953,04/25/23 11:00 PM,04/20/23 - 04/25/23,Harassment,Skirball Theater,A student reported a harassment.,Open
2023-0952,04/25/23 07:43 PM,04/25/23 05:00 PM - 04/25/23 06:00 PM,Larceny,Silver Center,A student reported missing personal property.,Open
2023-0948,04/25/23 11:45 AM,04/25/23 11:45 AM,Harassment,Schwartz Hall,A staff member reported a harassment.,Open
2023-0951,04/25/23 02:40 PM,04/25/23 02:40 PM,Attempted Robbery,Brooklyn Commons,A student reported an attempted robbery.,Open
2023-0947,04/25/23 08:55 AM,04/24/23 - 04/25/23,Criminal Mischief,Palladium Hall - exterior,A campus safety officer reported graffiti.,Open
2023-0943,04/24/23 10:07 PM,04/24/23 10:04 PM,Loitering,Alumni Hall,A campus safety officer reported loitering.,Open
2023-0940,04/24/23 05:17 PM,04/21/23 05:30 PM - 04/24/23 12:00 PM,Larceny,20 Cooper Square,A staff member reported missing equipment.,Open
2023-0939,5/1/2023 3:22 PM,4/22/2023 12:14 AM,Harassment,Washington Square Park,A Campus Safety Officer reported a harassment.,Closed
2023-0938,04/24/23 04:30 PM,04/24/23 03:20 PM,Robbery,Brooklyn Commons,A student reported an attempted robbery.,Open
2023-0936,04/24/23 09:30 AM,04/24/23 09:30 AM,Harassment,Schwartz Hall,A staff member reported a harassment.,Open
2023-0937,04/24/23 04:10 PM,04/21/23 05:15 PM - 04/24/23 09:30 AM,Larceny,Vanderbilt Hall,A staff member reported missing personal property.,Open
2023-0934,04/23/23 08:39 PM,04/23/23 08:39 PM,Harassment,111 Second Avenue - exterior,Two students reported a harassment.,Open
2023-0932,04/23/23 02:07 AM,04/23/23 02:07 AM,Criminal Trespass,Third North Hall,A campus safety officer reported a trespass.,Open
2023-0930,04/23/23 04:03 PM,04/23/23 04:00 PM,Harassment,251 Mercer Street - exterior,Two student reported a harassment.,Open
2023-0929,04/23/23 03:37 PM,04/15/23 12:15 AM,Robbery,Brooklyn Commons,A student reported a robbery.,Open
2023-0922,04/22/23 04:30 PM,04/22/23 01:20 PM - 04/22/23 04:05 PM,Larceny,20 Cooper Street,A student reported missing personal property.,Open
2023-0917,04/21/23 05:40 PM,04/21/23 10:40 AM - 04/21/23 05:40 PM,Motor Vehicle Theft,5 Metrotech,A student reported the theft of a motorized scooter.,Open
2023-0913,04/21/23 02:37 PM,04/21/23 02:20 PM,Dating Violence / Simple Assault,1 Washington Square North - exterior,A student reported a simple assault/dating violence incident.,Open
2023-0909,04/20/23 03:10 PM,04/20/23 02:37 PM,Disorderly Conduct,Schwartz Hall,A staff member reported a disorderly conduct.,Open
01117-2023,04/19/23 03:45 PM,05/19/23 03:45 PM,Liquor Law Violation,Third North Hall,A staff member reported underage alcohol possession.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0902,04/19/23 10:34 PM,04/17/23 12:00 PM - 04/17/23 10:13 PM,Larceny,725 Broadway,A student reported missing personal property.,Open
2023-0898,04/19/23 03:39 PM,04/19/23 12:20 PM,Harassment,Sullivan Street and West 3rd Street,A student reported a harassment.,Open
2023-0895,04/19/23 10:24 AM,04/19/23 10:24 AM,Criminal Trespass,44 West 4th Street,A campus safety officer reported an attempted trespass.,Open
2023-0894,04/19/23 11:30 AM,04/19/23 11:25 AM,Harassment,Washington Place and Mercer Street,A campus safety officer reported a harassment.,Open
2023-0892,04/19/23 09:30 AM,04/12/23 01:00 PM,Harassment / Simple Assault,Washington Square Park,A staff member reported a harassment / simple assault. This incident is being classified a bias incident.,Open
2023-0887,04/18/23 04:16 PM,04/09/23 - 04/13/23,Larceny,University Hall,A student reported missing personal property.,Open
2023-0885,04/18/23 03:48 PM,04/18/23 03:48 PM,Harassment,Five Guys - exterior,Two students reported a harassment.,Open
2023-0883,04/18/23 11:00 AM,04/13/23 12:00 AM,Larceny,Silver Center,A staff member reported missing equipment.,Open
2023-0882,04/18/23 07:54 PM,04/18/23 07:10 PM,Harassment,Lafayette Hall,A student reported a harassment.,Open
2023-0879,04/17/23 06:27 PM,04/15/23 11:00 AM,Larceny,15 Washington Place,A staff member reported a bike theft.,Open
2023-0874,04/17/23 09:50 AM,04/13/23 10:15 AM - 04/18/23 10:15 AM,Stalking,Shimkin Hall,A student reported a stalking.,Open
2023-0872,04/17/23 09:46 AM,04/14/23 05:40 PM,Simple Assault - Bias Incident,Washington Square North and Washington Square West,A staff member reported a simple assault. This incident is being classified as a bias incident.,Open
2023-0870,04/17/23 04:16 AM,04/17/23 04:00 AM,Robbery,McDonald's on Broadway - exterior,A student reported an attempted robbery.,Open
2023-0869,04/17/23 03:42 AM,04/17/23 03:58 AM,Robbery,Grey Art Gallery - exterior,A student reported an attempted robbery.,Open
01006-2023,04/16/23 04:18 PM,04/16/23 12:00 AM,Criminal Trespass,Lipton Hall,A student reported a criminal trespass.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0865,04/15/23 09:58 PM,04/15/23 09:54 PM - 04/15/23 12:00 AM,Larceny,Weinstein Hall,A student reported missing personal property.,Open
2023-0859,04/15/23 03:59 AM,04/15/23 03:50 AM,Criminal Trespass,Founders Hall,Two student reported a trespass.,Open
C.0007646,04/14/23 02:55 PM,04/02/23 - 04/08/23,Rape / Aggravated Assault,Broome Street Hall,A student reported a rape and aggravated assault.,Closed/Referred to Title IX
00987-2023,04/14/23 04:23 AM,04/13/23 12:00 AM,Harassment,Hayden Hall,A student reported a harassment.,Closed/Referred to Office of Student Conduct & Community Standards
00983-2023,04/14/23 08:00 AM,04/14/23 02:30 AM,Menacing,Lafayette Hall,A student reported a menacing.,Closed/Referred to Office of Student Conduct & Community Standards
2023-0853,04/14/23 05:01 PM,04/14/23 04:09 PM,Larceny,Washington Square Park,A student reported an attempted larceny.,Open
2023-0849,04/14/23 01:15 PM,04/14/23 01:49 PM,Harassment,Broadway (between Washington Place and Waverly Place),A student reported a harassment.,Open
2023-0846,04/14/23 09:18 AM,04/14/23 09:18 AM,Criminal Trespass,721 Broadway,A campus safety officer reported an attempted trespass.,Open
00967-2023,04/14/23 12:57 AM,04/07/23 - 04/14/23,Larceny,University Hall,Two students reported missing personal property.,Closed/Referred to Office of Student Conduct & Community Standards
BOOK015,04/13/23 01:04 PM,04/13/23 12:25 PM,Larceny,NYU Bookstore,A staff member reported a retail theft.,Closed
2023-0844,04/13/23 03:45 PM,04/12/23 - 04/13/23 12,Criminal Mischief,239 Greene Street - exterior,A staff member reported graffiti.,Open
2023-0841,04/13/23 06:27 PM,04/13/23 06:27 PM,Criminal Trespass,Fairchild Building,A staff member reported a trespass.,Open
2023-0840,04/13/23 05:39 PM,January 2023,Rape,Third North Hall,A student reported a rape.,Open
2023-0834,04/13/23 09:27 AM,04/12/23 12:00 AM - 04/13/23 12:00 AM,Criminal Mischief,244 Green Street - exterior,A staff member reported graffiti.,Open
2023-0833,04/13/23 01:45 AM,04/13/23 01:35 AM,Harassment,370 Jay Street - exterior,A student reported a harassment.,Open
00951-2023,04/12/23 12:00 AM,03/26/23 - 04/05/23,Harassment,Othmer Hall,A student reported a harassment.,Closed
2023-0832,04/12/23 10:00 PM,04/12/23 10:00 PM,Robbery (reclassified from Larceny),Warren Weaver Hall - exterior,A student reported a larceny. The incident was upgraded to a robbery on 4/13/2023.,Open
2023-0830,04/12/23 04:53 PM,04/11/23 06:00 PM - 04/12/23 09:30 AM,Larceny,Education Building,A student reported missing personal property.,Open
2023-0824,04/12/23 04:31 PM,04/12/23 03:40 PM,Fondling,Washington Square Park,A student reported a fondling.,Open
2023-0823,04/12/23 02:15 PM,04/12/23 02:15 PM,Criminal Trespass,Kimmel Center,A staff member reported an attempted trespass.,Closed
2023-0822,04/12/23 03:49 PM,04/12/23 01:50 PM - 04/12/23 03:40 PM,Larceny,2 Metrotech,A student reported missing personal property.,Open
2023-0812,4/6/2023 8:00 PM,4/6/2023 8:00 PM,Criminal Trespass,University Hall,A staff member reported a trespass.,Closed
2023-0804,04/10/23 11:48 PM,04/10/23 12:00 AM,Harassment,Washington Square Park,A student reported a harassment.,Open
2023-0803,04/10/23 07:45 PM,04/10/23 07:45 PM,Criminal Trespass,286 Mercer Street,A campus safety officer reported a criminal trespass.,Open
2023-0806,4/11/2023 11:23AM,4/10/2023 3:00 PM - 4/10/2023 10:00 PM,Burglary,15 Washington Place,A staff member reported a burglary,Closed
2023-0801,04/10/23 12:12 PM,04/10/23 12:05 PM,Criminal Mischief,Carlyle Court,A staff member reported destruction of property.,Open
2023-0799,04/10/23 09:04 AM,04/07/23 06:10 PM,Larceny,Silver Center - exterior,A student reported missing personal property.,Open
2023-0798,04/09/23 11:40 AM,04/09/23 12:00 AM,Criminal Mischief,Paulson Center - exterior,A campus safety officer reported graffiti.,Open
2023-0795,04/09/23 03:01 PM,04/09/23 12:30 AM - 04/09/23 02:20 PM,Motor Vehicle Theft,Third North Hall - exterior,A student reported an electric bike theft.,Open
2023-0794,04/09/23 11:47 AM,04/09/23 11:35 AM,Larceny,University Place & Waverly Place,A student reported missing personal property.,Open
2023-0797,04/09/23 05:30 PM,04/07/23 06:00 PM,Harassment,Dental Center - exterior,A faculty member reported a harassment outside the Dental Center.,Open
2023-0789,04/08/23 01:20 PM,04/08/23 01:20 PM,Loitering,Broome Street Hall,A campus safety officer reported loitering.,Open
2023-0788,04/08/23 02:40 PM,04/08/23 12:30 PM - 04/08/23 02:21 PM,Larceny,Bobst Library,A student reported missing personal property.,Open
2023-0783,04/07/23 11:27 PM,04/07/23 09:15 PM,Fondling,Paulson Center - exterior,A student reported a fondling.,Open
2023-0780,04/07/23 02:22 PM,03/15/23,Larceny,Paladium Hall,A staff member reported missing furniture.,Open
2023-0778,4/24/2023 4:27 PM,4/6/2023 4:59 PM - 4/6/2023 7:46 PM,Criminal Trespass,Puck Building,A campus safety officer reported a criminal trespass.,Closed
2023-0776,04/07/23 01:03 PM,04/06/23 02:15 PM - 04/06/23 04:45 PM,Larceny,Silver Center,A student reported missing personal property.,Open
2023-0775,04/07/23 11:57 AM,04/07/23 10:55 AM,Harassment,Forbes Building - exterior,A student reported a harassment.,Open
2023-0774,04/07/23 12:19 PM,04/06/23 10:45 AM,Larceny,404 Lafayette,A student reported missing personal property.,Open
